relative_time,AccX,AccY,AccZ
36180,-1.912368655204773,-12.43069553375244,1.215057373046875
36199,0.2184709012508392,-13.941436767578123,2.4432828426361084
36219,-1.6298527717590332,-15.626954078674316,2.041056871414185
36239,-5.953781127929688,-16.8839111328125,-0.4393360018730163
36259,-6.700771808624268,-16.089035034179688,-2.8838160037994385
36279,-4.567538261413574,-14.19522190093994,-3.7672762870788574
36298,-2.848501443862915,-12.777854919433594,
36299,,,-1.9835960865020752
36318,-0.5835866928100586,-11.884817123413086,-1.7417817115783691
36338,1.5975310802459717,-12.54561710357666,0.0011971008498221
36358,3.4123358726501465,-14.07311725616455,1.600523829460144
36378,1.346139907836914,-13.218387603759766,0.4608838260173797
36398,-2.714426279067993,-11.681309700012209,0.9373299479484558
36417,-3.71280837059021,,
36418,,-11.154585838317873,1.85430920124054
36437,-3.312976598739624,,
36438,,-10.515334129333496,0.4632780253887176
36457,-2.455852508544922,-10.196905136108398,-1.3419500589370728
36477,-1.6035165786743164,-9.557653427124023,-2.2900538444519043
36497,-0.6530185341835022,-8.944737434387207,-1.4927847385406494
36517,-0.2005143910646438,-7.769184589385986,-0.8224082589149475
36536,-0.8780734539031982,-6.766014099121094,-1.116895079612732
36556,-1.1988965272903442,-6.481103897094727,-1.361103653907776
36576,-1.5292962789535522,-6.050147533416748,-1.4449007511138916
36596,-2.1039047241210938,-4.982333660125732,-1.657984733581543
36616,-1.8908207416534424,-4.072536945343018,-1.6101006269454956
36636,-1.61069917678833,-3.519476413726806,-1.9788076877593996
36655,-1.1773487329483032,,
36656,,-3.6296098232269287,-2.2637176513671875
36675,-0.7200561761856079,-3.691859006881714,-3.0777463912963867
36695,-0.2076970040798187,-3.8953661918640137,-3.7672762870788574
36715,0.2519897222518921,-3.9217023849487305,-3.8606503009796143
36735,0.7906851172447205,-4.01268196105957,-4.02345609664917
36755,0.9870096445083618,-4.292803764343262,-4.973954200744629
36774,0.9151836037635804,-4.915296077728272,-6.618770599365234
36794,0.5560533404350281,-6.004657745361328,-8.981847763061523
36814,0.1993172913789749,-6.476315498352051,-8.744821548461914
36834,-0.9858125448226928,-3.773261785507202,-1.2461819648742676
36854,-2.271498918533325,-11.33654499053955,-9.800664901733398
36874,-7.754220962524414,-36.33679962158203,-5.424064159393311
36893,-4.416703701019287,-19.25895881652832,4.945223808288574
36913,-4.22277307510376,-1.455674648284912,-3.271676540374756
36933,-5.707178115844727,-3.883395195007324,
36934,,,2.515108823776245
36954,-6.509235858917236,-8.437167167663574,0.3124433159828186
37005,-4.608239650726318,-10.323798179626465,-1.1767501831054688
37093,0.7930793166160583,,
37094,2.2918496131896973,-10.714052200317385,-0.5542576909065247
37139,-1.1773487329483032,-8.334216117858887,-2.0434510707855225
37204,-2.759916067123413,,
37205,,-9.885659217834473,-1.0450690984725952
37292,-1.426345705986023,-10.639832496643066,-0.2621650993824005
37339,-2.273893117904663,-8.676587104797363,-0.1352723985910415
37406,-2.7072436809539795,-9.48343276977539,0.2166752517223358
37472,-1.8932149410247805,-10.168174743652344,0.1999158412218094
37539,-2.079962730407715,-17.01080322265625,-1.0761936902999878
37605,-7.62493371963501,,
37606,,-12.789825439453123,-2.778470993041992
37672,-2.027290344238281,-14.135366439819336,1.5646108388900757
37739,-5.822100162506104,-9.63187313079834,-3.0346505641937256
37809,-2.999336242675781,-6.045359134674072,-0.8966285586357117
37872,-1.5029600858688354,-4.642356872558594,-1.8112136125564573
37939,-0.7775170207023621,-2.7916390895843506,-3.26688814163208
38025,-0.5524620413780212,-2.1475989818573,-5.543774127960205
38073,-10.18912410736084,,
38074,,-9.433155059814451,-3.3195607662200928
38164,-2.8125884532928467,,
38165,-6.305728912353516,-11.963826179504396,0.6189011335372925
38263,-2.0703859329223637,-9.938331604003906,-1.7705121040344238
38345,-0.0257376674562692,-7.218518257141113,-1.6316484212875366
38406,-2.185307502746582,-8.951920509338379,-1.5981296300888062
38472,-1.2970588207244873,,
38473,,-9.68933391571045,-1.3275848627090454
38539,-2.4127566814422607,-8.678980827331543,-0.1831564307212829
38606,-1.148618221282959,-10.737994194030762,-0.2382230758666992
38672,-3.810970544815064,-12.686874389648438,
38673,,-14.293384552001951,0.0179565120488405
38759,-0.4614823758602142,-17.12333106994629,-2.89339280128479
38805,-2.542043685913086,,
38806,,-14.599842071533203,2.120065689086914
38840,-3.133411407470703,-14.156914710998535,3.709815502166748
38937,-3.4135329723358154,-11.923124313354492,-1.1336544752120972
38938,,,-0.6667851805686951
39006,-1.325789213180542,-6.004657745361328,-0.1735796183347702
39096,-2.0416555404663086,,
39097,,-3.0861260890960693,-1.1504138708114624
39197,0.5776011347770691,-3.260902643203736,-5.728127479553223
39294,-9.856329917907717,,
39296,,-10.539276123046877,-2.962824583053589
39339,-7.677606105804443,-9.93354320526123,-3.989937067031861
39407,-1.675342679023743,-8.518569946289062,-1.7345991134643557
39492,-0.7559691667556763,,
39495,,-9.30386734008789,-2.139219284057617
39539,-2.221220731735229,-8.020575523376465,-0.4273650050163269
39631,-1.033696532249451,-8.942343711853027,-0.0634463429450988
39730,-1.426345705986023,,
39731,,-9.05247688293457,0.7003039717674255
39830,-1.1605892181396484,-10.163386344909668,-0.8176198601722717
39929,-3.5883097648620605,-15.004462242126465,-1.7729063034057615
39964,-7.2298903465271,-11.81059741973877,-2.84790301322937
40048,-3.80378794670105,-13.211204528808594,-0.4273650050163269
40147,-5.309741020202637,-10.517727851867676,
40149,,,-2.8335378170013428
40246,-0.0927753150463104,-6.813898086547852,-1.337161660194397
40272,-0.2196680009365081,-2.451662540435791,-2.474407434463501
40365,0.0460883826017379,,
40366,-0.3944447338581085,-2.964021682739258,-3.3195607662200928
40464,-4.905120849609375,,
40465,,-9.979032516479492,-23.857023239135746
40564,-9.86111831665039,-15.476119995117188,-4.58848762512207
40662,-1.898003339767456,,
40663,,-8.130708694458008,-2.608482837677002
40762,-0.9283517003059388,-7.690176010131836,-2.060210466384888
40806,-0.902015507221222,-10.27591323852539,-1.9333178997039795
40822,-3.265092611312866,-7.515398979187012,-0.8774749040603638
40865,-4.04081392288208,-7.15387487411499,-0.93254154920578
40939,-3.1477766036987305,-8.317456245422363,
40940,,,-0.6117185354232788
41006,-2.4869771003723145,-11.587936401367188,-0.7481880187988281
41072,-3.772663354873657,-14.156914710998535,-3.851073503494263
41139,-0.2986766695976257,-14.18803882598877,0.6500257849693298
41206,2.2918496131896973,-12.550405502319336,3.2190041542053223
41297,1.5831658840179443,-14.896722793579102,0.6500257849693298
41395,2.6126725673675537,,
41396,3.113060712814331,-11.623848915100098,1.7393875122070312
41495,-1.8692729473114011,-7.187393665313721,0.8008604645729065
41524,-2.965817451477051,,
41525,,-4.376600742340088,-0.7601590156555176
41614,-3.0759506225585938,-4.177882194519043,-0.8774749040603638
41652,-1.5819687843322754,-4.970362663269043,-2.6420016288757324
41672,-1.4550760984420776,-6.957550048828125,-5.582081317901611
41692,-0.0736217051744461,-10.66137981414795,
41693,,,-9.367314338684082
41712,0.3357867896556854,-14.81771469116211,-9.996989250183104
41731,-4.589086055755615,,
41732,,-23.40571594238281,-5.993884086608887
41751,-12.650362968444824,-33.17166519165039,-2.6013002395629883
41771,-0.6386532783508301,-20.685903549194336,-6.764816761016846
41791,-1.9506758451461792,-7.465120792388916,-6.429628849029541
41811,-1.6849194765090942,0.0885854661464691,0.6380547285079956
41830,2.7060465812683105,,
41831,,2.913743495941162,2.6611552238464355
41851,2.07397723197937,-4.335899353027344,2.936488389968872
41870,0.2639607489109039,-11.434707641601562,0.5446808934211731
41890,-2.1733365058898926,-14.52562141418457,-1.725022315979004
41910,-4.134187698364258,-13.826515197753906,-3.307589530944824
41930,-4.13179349899292,-10.204087257385254,-2.340332269668579
41950,-4.296993732452393,-7.477091789245605,-0.8702923059463501
41969,-4.294599533081055,-6.706159114837647,-0.2645592987537384
41989,-3.0974984169006348,-7.252037048339844,-0.1783680319786071
42009,-1.8908207416534424,,
42010,,-8.978256225585938,0.0371101275086402
42029,-0.8062474131584167,-10.532093048095703,0.1137245818972587
42049,0.0939724147319793,-11.161767959594728,0.0634463429450988
42068,-0.2771288454532623,,
42069,,-10.819397926330566,-0.3579331636428833
42088,-1.6011223793029783,,
42089,,-9.301473617553713,-0.6643909811973572
42108,-2.9753942489624023,-8.698134422302246,-0.2908954918384552
42128,-3.760692358016968,-7.996633529663086,-0.3962403833866119
42148,-4.296993732452393,-7.891288757324219,-1.3634978532791138
42168,-3.8540661334991455,-8.38688850402832,-1.5981296300888062
42187,-2.834136247634888,,
42188,,-9.035717010498049,-1.502361536026001
42207,-1.8237831592559812,-9.667786598205566,-1.7896658182144165
42227,-1.1390414237976074,-9.710882186889648,-1.928529500961304
42247,-1.083974838256836,-9.040505409240724,-1.890222191810608
42267,-1.1510124206542969,-8.583212852478027,
42287,-1.3760673999786377,-8.595184326171875,-1.0666168928146362
42307,-1.6490063667297363,-8.461109161376953,-0.6380547285079956
42326,-2.034472942352295,,
42327,,-8.08282470703125,-0.6356605291366577
42346,-2.355295896530152,-7.433996200561523,-0.8104372620582581
42366,-2.5564088821411133,-6.730101108551025,-1.222239971160889
42386,-2.465429306030273,-6.33026933670044,-0.393846184015274
42406,-2.362478494644165,-6.27280855178833,0.9540894031524658
42425,-2.120664119720459,,
42426,,-6.605602264404297,1.3204022645950315
42446,-1.8956091403961184,-7.16584587097168,2.098517894744873
42465,-2.3481132984161377,-8.611943244934082,3.671508312225342
42485,-1.3569138050079346,-9.804255485534668,0.5997475385665894
42505,0.4746504724025726,-10.08437728881836,-0.0538695380091667
42525,2.1960813999176025,-8.7484130859375,-0.4345476031303406
42545,2.2415714263916016,-7.718906402587891,-2.5294740200042725
42564,0.7212532758712769,,
42565,,-8.611943244934082,-3.822343111038208
42584,-1.5987281799316406,-13.778631210327148,-5.541379928588867
42604,-2.558803081512451,-22.72097396850586,-4.301183223724365
42624,-4.6058454513549805,-26.93476867675781,-3.400963544845581
42644,-8.498817443847656,-18.684350967407227,-1.2485761642456057
42663,-10.48361110687256,-13.208810806274414,-0.3746925592422485
42683,-8.33601188659668,-12.797008514404297,-0.1879448294639587
42703,-3.229179620742798,-10.53688144683838,1.9979612827301023
42723,-1.184531331062317,-11.295844078063965,-1.238999366760254
42743,-1.6825252771377563,-12.763489723205566,-1.7513585090637207
42762,-3.02327823638916,,
42763,,-10.522516250610352,-0.2477998733520507
42782,-3.885190725326538,-6.1267619132995605,0.872686505317688
42802,-3.71280837059021,-3.222595453262329,1.6531962156295776
42822,-2.958634853363037,-2.298433542251587,1.602918028831482
42842,-2.1805191040039062,-2.801215887069702,1.2773065567016602
42862,-1.955464243888855,-3.6176388263702393,1.1671733856201172
42882,-2.3265655040740967,-3.5482068061828613,1.169567584991455
42901,-2.896385431289673,,
42902,,-2.609679937362671,1.0833762884140017
42921,-3.111863613128662,,
42922,,-2.0901381969451904,1.1073182821273804
42941,-2.793434858322144,-1.9369091987609863,0.585382342338562
42961,-1.4766238927841189,-2.427720546722412,0.1113303825259208
42981,-0.3298012912273407,-4.185064792633057,
42982,,,-0.8200140595436096
43000,0.0293289702385664,,
43001,,-7.924807548522949,-2.804807186126709
43020,-1.0360907316207886,-14.12818431854248,-8.83819580078125
43040,-3.135805606842041,,
43041,,-15.808914184570312,-10.533289909362791
43060,-5.819705963134766,-12.373234748840332,-6.815094947814941
43080,-6.344036102294922,-9.29429054260254,-5.48152494430542
43100,-5.170876979827881,-8.2312650680542,-5.254075527191162
43120,-4.275445461273193,-8.377311706542969,-5.16549015045166
43139,-4.34487771987915,,
43140,,-8.403648376464844,-6.264428615570068
43159,-5.707178115844727,-8.56884765625,-2.539050817489624
43179,-9.18355941772461,-11.116278648376465,-1.6292542219161987
